read_0	11622835	11623837
read_1	16625361	16626365
read_2	19323100	19324093
read_3	15839757	15840753
read_4	9068976	9069978
read_5	13383724	13384729
read_6	14433571	14434563
read_7	3735125	3736127
read_8	12037619	12038619
read_9	17506256	17507262
read_10	18249569	18250569
read_11	8243191	8244190
read_12	9798623	9799621
read_13	8251977	8252979
read_14	4057318	4058320
read_15	4671000	4671996
read_16	16603238	16604240
read_17	5016961	5017953
read_18	8193242	8194238
read_19	3615592	3616595
read_20	19464915	19465915
read_21	13676263	13677264
read_22	8468001	8469005
read_23	9159610	9160606
read_24	16216041	16217037
read_25	397623	398624
read_26	2534075	2535083
read_27	18482769	18483769
read_28	4549555	4550556
read_29	16064609	16065607
read_30	3056158	3057156
read_31	14025623	14026619
read_32	12282874	12283874
read_33	923684	924684
read_34	2787079	2788075
read_35	291474	292476
read_36	2704595	2705593
read_37	16220927	16221932
read_38	14961010	14962009
read_39	19411388	19412392
read_40	4772835	4773839
read_41	1480281	1481284
read_42	19436263	19437269
read_43	8928626	8929628
read_44	17209754	17210754
read_45	6957646	6958647
read_46	4097677	4098681
read_47	14112237	14113231
read_48	10853222	10854226
read_49	16135007	16136003
read_50	7406126	7407127
read_51	7421187	7422193
read_52	19585631	19586637
read_53	5970267	5971269
read_54	7606386	7607382
read_55	7627870	7628870
read_56	9199699	9200700
read_57	15244344	15245350
read_58	18548986	18549990
read_59	18682229	18683233
read_60	66159	67159
read_61	5145128	5146129
read_62	1234748	1235746
read_63	782107	783107
read_64	13624184	13625184
read_65	5923333	5924338
read_66	11219895	11220889
read_67	12925292	12926298
read_68	2466137	2467137
read_69	12739503	12740499
read_70	7271826	7272824
read_71	7547803	7548799
read_72	11202988	11203991
read_73	14178114	14179111
read_74	11956059	11957057
read_75	12013436	12014439
read_76	12236582	12237581
read_77	1224387	1225383
read_78	18787887	18788893
read_79	9780269	9781274
read_80	19860594	19861594
read_81	5432000	5432994
read_82	13695976	13696975
read_83	15732877	15733873
read_84	2237859	2238863
read_85	18190075	18191077
read_86	8854648	8855644
read_87	7912696	7913698
read_88	1375182	1376182
read_89	617262	618264
read_90	14001434	14002436
read_91	1288131	1289135
read_92	17069515	17070519
read_93	18997747	18998745
read_94	7864989	7865992
read_95	15425378	15426370
read_96	3768413	3769409
read_97	18739298	18740306
read_98	15447729	15448723
read_99	8479968	8480970
read_100	17907536	17908538
read_101	184999	186001
read_102	11407324	11408322
read_103	19297617	19298625
read_104	8388768	8389760
read_105	1813130	1814127
read_106	15227209	15228209
read_107	11647354	11648354
read_108	10662774	10663775
read_109	17194618	17195620
read_110	15104060	15105058
read_111	13405945	13406943
read_112	3877125	3878127
read_113	5441175	5442180
read_114	15642388	15643388
read_115	9679125	9680121
read_116	17084734	17085735
read_117	14792837	14793843
read_118	18008835	18009836
read_119	12153645	12154642
read_120	18865708	18866708
read_121	15730794	15731794
read_122	12340512	12341508
read_123	4083852	4084852
read_124	6761999	6763001
read_125	15043247	15044251
read_126	11838128	11839119
read_127	18189951	18190943
read_128	12494657	12495665
read_129	19033330	19034328
read_130	3587548	3588556
read_131	11531486	11532485
read_132	6933962	6934961
read_133	16651599	16652601
